0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0.05127353	-0.05942415	-0.14811178	-0.40297708	0.30926874	0.2640726	0.12377491	0.2623977	0.2462183	-0.3362519	-0.2635912	-0.63514024	-0.26835546	0.0020842045	-0.113934726	-0.29978755	-0.17552619	0.1011772	-0.34960964	-0.40864787	0.06712961	0.24508826	0.33095714	-0.44059777	-0.03448124	0.6022848	-0.050521247	0.24890323	-0.23802339	0.39608714	-0.21847954	-0.101029895	-0.4178173	-0.20254023	-0.3177322	0.39752358	0.50278366	0.09102981	0.24916194	-0.035650294	0.45837265	0.45160392	0.14430273	-0.2394834	0.5932938	-0.07008455	0.27512372	0.25827432	0.26792789	0.1666169
0.059871927	-0.0672949	-0.16593467	-0.45206952	0.34548128	0.2924593	0.13725443	0.2944058	0.2702448	-0.37429845	-0.29017696	-0.71041495	-0.29544124	0.0043834397	-0.12472826	-0.33185896	-0.19948685	0.11295769	-0.386287	-0.45232642	0.07201112	0.2733173	0.36540902	-0.4938958	-0.035120606	0.6698098	-0.056917027	0.27667183	-0.26148674	0.4408001	-0.24618383	-0.10689002	-0.46016824	-0.22782028	-0.3538783	0.43656993	0.55406123	0.10255601	0.2793818	-0.04210731	0.5044208	0.50254613	0.16259752	-0.26587936	0.6558216	-0.07678862	0.3066672	0.28824976	0.299462	0.1868344
0.04697378	-0.053658392	-0.12659174	-0.34907252	0.2652884	0.22426121	0.1080191	0.23046878	0.2104834	-0.28790805	-0.2240286	-0.5433856	-0.23122534	0.0027227649	-0.09633407	-0.25493672	-0.15393251	0.08867438	-0.29569593	-0.35058075	0.053574223	0.20918499	0.2846495	-0.3752732	-0.027137246	0.5142073	-0.044443045	0.2116004	-0.20166995	0.34100765	-0.18955043	-0.08314967	-0.35168302	-0.1731734	-0.27463824	0.34058058	0.42581347	0.0760874	0.21514429	-0.03422851	0.39068037	0.38670567	0.12765092	-0.20478123	0.50872064	-0.06322387	0.23630302	0.22219235	0.23138653	0.14261347
0.057221144	-0.06485011	-0.15825856	-0.42193118	0.32240617	0.27472532	0.12574725	0.27214944	0.25090155	-0.34893474	-0.2718874	-0.6656044	-0.27836624	0.0050828215	-0.1180886	-0.30780935	-0.18478091	0.104726054	-0.3618897	-0.42731085	0.067841716	0.25372803	0.34550494	-0.45984128	-0.034175716	0.6285298	-0.054276593	0.25907	-0.24402405	0.41291368	-0.22837584	-0.099881716	-0.42695373	-0.21135221	-0.33032298	0.41172823	0.5215336	0.093455285	0.2621602	-0.038655993	0.47394937	0.46883467	0.15475649	-0.2503827	0.61405087	-0.07618098	0.28549984	0.26771238	0.2779899	0.17279154
0.058274947	-0.06685979	-0.15994512	-0.42878383	0.32332277	0.27439836	0.124759324	0.2760348	0.25429687	-0.3517956	-0.27318448	-0.66920745	-0.28086793	0.0044776066	-0.11696135	-0.31117827	-0.18775445	0.10786796	-0.3673129	-0.4298703	0.06875069	0.25675184	0.34832308	-0.4619356	-0.034080565	0.6296028	-0.053275686	0.26099733	-0.24559587	0.4160723	-0.22639266	-0.10188716	-0.4340955	-0.21093659	-0.3306718	0.41216522	0.52536184	0.09544922	0.2627887	-0.036898118	0.47559193	0.47336128	0.15493567	-0.25135112	0.6177289	-0.077826895	0.2889302	0.27165142	0.28143224	0.17475241
0.054349534	-0.067710966	-0.15610528	-0.43236983	0.3303713	0.28188798	0.12454735	0.2823082	0.2591722	-0.36131763	-0.28126872	-0.68370235	-0.2827603	0.007237191	-0.12097979	-0.3156947	-0.1960193	0.11292211	-0.36933053	-0.43410814	0.0683352	0.2610221	0.3542573	-0.47760627	-0.036724064	0.64669704	-0.05398743	0.27003136	-0.24850999	0.42258966	-0.23539685	-0.10464836	-0.4414648	-0.21738221	-0.34396014	0.42860776	0.5382926	0.10164785	0.27193794	-0.03995576	0.48684675	0.47550753	0.15581787	-0.25419047	0.63071126	-0.07652603	0.2974058	0.2803473	0.28914666	0.17763035
0.021489896	-0.07981836	-0.18397026	-0.44142446	0.3140586	0.29406443	0.14373393	0.30369183	0.28353247	-0.41123658	-0.30072424	-0.67928624	-0.26465234	0.022317244	-0.11778396	-0.32687068	-0.24853118	0.13399626	-0.3492862	-0.4146745	0.044002876	0.25197572	0.36351284	-0.46252164	-0.0660174	0.64662087	-0.049137406	0.29370406	-0.23262961	0.43848938	-0.26619843	-0.14639829	-0.4295134	-0.23156568	-0.36239123	0.48714206	0.5554728	0.10676567	0.28201476	-0.11064017	0.5009942	0.4675992	0.11778932	-0.22829205	0.6471715	-0.10127046	0.31543595	0.33576858	0.29599816	0.21815754
0.05390533	-0.06151347	-0.14631057	-0.39055234	0.30050975	0.2502941	0.11899196	0.25771338	0.23464926	-0.32549778	-0.25065923	-0.61603266	-0.2565966	0.0040581888	-0.11154771	-0.28474143	-0.17061281	0.09975449	-0.3383773	-0.39805585	0.064581566	0.23661253	0.321026	-0.4287825	-0.031905983	0.5823691	-0.048665643	0.24071473	-0.22449419	0.38561553	-0.21195409	-0.0926298	-0.40302053	-0.19489884	-0.30456632	0.37881857	0.48435512	0.08700877	0.24293505	-0.034387354	0.44235578	0.43593013	0.14456192	-0.23367238	0.57185924	-0.07034337	0.26604453	0.25185457	0.26327887	0.16220562
0.048775725	-0.06850453	-0.15010244	-0.4211823	0.3262396	0.2768973	0.119220495	0.27847615	0.25084633	-0.3556136	-0.2771115	-0.6683165	-0.27622533	0.010627469	-0.11643777	-0.30650333	-0.19888024	0.11047914	-0.3528735	-0.42521206	0.06542192	0.25559527	0.34769303	-0.47002554	-0.043083407	0.633417	-0.045939915	0.2699763	-0.24019873	0.4146901	-0.23153958	-0.10749374	-0.42883673	-0.21107352	-0.34206083	0.42546326	0.5255579	0.10142864	0.27222496	-0.04371675	0.4783364	0.46028286	0.14805982	-0.24001166	0.6176577	-0.07585018	0.2928997	0.27756956	0.28790686	0.17182265
0.04514979	-0.06262521	-0.13119416	-0.36964488	0.28209233	0.2399743	0.1049937	0.24018916	0.22125003	-0.31145048	-0.2430082	-0.5849422	-0.2409659	0.009696922	-0.10433484	-0.2652426	-0.17254338	0.09846554	-0.30331868	-0.36521414	0.055853605	0.219599	0.30518094	-0.41204864	-0.036546085	0.55062383	-0.040776767	0.23534298	-0.20962194	0.3634798	-0.2026926	-0.0918	-0.37515163	-0.18705611	-0.2994334	0.37430978	0.4629608	0.084882215	0.23612839	-0.041845907	0.41780657	0.3996539	0.12864065	-0.20923762	0.54036474	-0.068824716	0.2570532	0.24391817	0.24983019	0.15038353
