0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
-0.1557475	0.09981361	0.002633334	0.096672304	-0.1317069	-0.27956018	0.2685627	0.6396199	-0.08665762	-0.0752867	-0.27494863	-0.53441566	-0.026434615	-0.00929151	0.04884091	-0.07508376	-0.01857932	-0.20181885	-0.18894623	-0.5280949	0.03754364	0.04898148	-0.033590898	0.063414805	-0.09638191	-0.06334981	-0.18638779	0.088597044	-0.24738859	-0.031405836	0.4995682	-0.07528082	0.16405202	-0.23113567	0.06252188	0.3605139	0.15248866	-0.18727788	-0.243494	-0.4906412	0.19804479	-0.33097416	0.044071477	0.16425149	0.1500406	0.1093982	-0.36530054	-0.043912403	0.026124235	0.095905215	0.09852839	-0.02087687	-0.08040525	-0.055127505	0.0099005345	0.28545716	-0.13121018	0.11060246	-0.14359082	0.08956509	0.29961142	0.039439484	-0.31501713	0.03707019	-0.161565	0.4420806	0.011270272	0.073680416	-0.32377595	0.05108543	-0.23632193	0.11980837	0.19752817	0.18833046	0.25989333	0.085587166	0.3788843	-0.14283149	-0.3006563	0.07197015	-0.11736307	-0.10681011	-0.34195113	0.32682738	-0.102037005	-0.20502348	0.04206085	0.038343795	0.3290547	0.02421216	0.13156356	-0.015645305	-0.09228754	-0.021761177	0.22064286	0.23919593	-0.012328443	-0.17847693	0.29704964	0.052901838
-0.1737216	0.10986477	0.0035378765	0.109389655	-0.14883167	-0.31098738	0.29799044	0.7120715	-0.09518672	-0.08268178	-0.30636868	-0.59343475	-0.030299554	-0.011893147	0.053589344	-0.08456442	-0.021010539	-0.22330756	-0.21015309	-0.5860226	0.04227886	0.052705716	-0.039617848	0.07280362	-0.107462205	-0.07251451	-0.20610702	0.09885952	-0.2726675	-0.03621311	0.55589765	-0.08433143	0.1842885	-0.2599506	0.06938101	0.40332267	0.17143375	-0.20880441	-0.270281	-0.54298204	0.21829276	-0.3677423	0.04632091	0.18024252	0.16651322	0.11849966	-0.40485528	-0.048507515	0.030688738	0.10641321	0.111486614	-0.022858484	-0.08872817	-0.06079563	0.009816125	0.31782487	-0.14522623	0.124026515	-0.15844722	0.10060662	0.3308803	0.04391187	-0.35260013	0.042447988	-0.18107955	0.49312434	0.013238818	0.084938794	-0.35868672	0.057952773	-0.26303282	0.13369732	0.21908052	0.21011789	0.29075232	0.0944244	0.4219925	-0.15675996	-0.33171135	0.08000005	-0.13332354	-0.11854085	-0.3797529	0.3650243	-0.11505594	-0.22914626	0.04540291	0.043141503	0.3665831	0.02818568	0.14833869	-0.01497531	-0.1035392	-0.026486367	0.2441919	0.26662263	-0.013941011	-0.1980098	0.33101228	0.05925554
-0.1329202	0.08377238	0.004483957	0.08314585	-0.11398645	-0.2406026	0.22834176	0.5484012	-0.071864896	-0.063771375	-0.23575798	-0.45378107	-0.023245674	-0.01018108	0.04120548	-0.064604156	-0.016134955	-0.17170596	-0.16206065	-0.44921625	0.03267716	0.042383578	-0.027676336	0.05615794	-0.082570024	-0.055080276	-0.15777121	0.07598855	-0.21026698	-0.027059294	0.4273476	-0.06536682	0.14168093	-0.20063668	0.053924482	0.30996862	0.13065666	-0.16129914	-0.20935434	-0.41881973	0.16767858	-0.28276116	0.036384538	0.1395433	0.12959585	0.08863716	-0.31165573	-0.037100855	0.021254968	0.08078019	0.082692616	-0.019105624	-0.067988165	-0.047240533	0.00863889	0.24132398	-0.111524194	0.095393464	-0.1218669	0.079049654	0.25387552	0.031689946	-0.27059287	0.03367265	-0.13980037	0.37721965	0.00959814	0.064724885	-0.2760221	0.044050135	-0.20249976	0.10291325	0.16892868	0.16139667	0.22284183	0.07409443	0.32552707	-0.12083658	-0.25623623	0.06134798	-0.100333616	-0.08958627	-0.29284686	0.2801634	-0.08897055	-0.17588213	0.03373486	0.033651836	0.28157228	0.02308758	0.116308816	-0.012774693	-0.079458445	-0.018953323	0.18728074	0.20688528	-0.01050134	-0.15017635	0.25350502	0.04740057
-0.16327769	0.103446394	0.00507286	0.10153144	-0.13829277	-0.29021537	0.2791661	0.66529775	-0.08681888	-0.07843951	-0.2867048	-0.5539712	-0.027255367	-0.011213586	0.049265433	-0.07853463	-0.018942142	-0.20955819	-0.1975623	-0.5469587	0.041069504	0.049679182	-0.035805743	0.06865158	-0.10120786	-0.06782983	-0.19383651	0.093832724	-0.25680193	-0.032328714	0.5190759	-0.079393074	0.17192867	-0.24272756	0.065163024	0.37609014	0.15904613	-0.19413133	-0.25341958	-0.5089707	0.20504497	-0.34192902	0.04367454	0.16889058	0.1558533	0.10965199	-0.37895125	-0.045533564	0.028228398	0.099671565	0.101979166	-0.022610812	-0.08299597	-0.05682999	0.009112598	0.29657942	-0.13511176	0.11646964	-0.14860825	0.09509075	0.30998537	0.04037942	-0.32847852	0.039555565	-0.17008054	0.45944524	0.010717577	0.078376934	-0.33569124	0.055524614	-0.24620043	0.12500317	0.20523532	0.19682664	0.2710386	0.08836705	0.39409256	-0.14673926	-0.30938125	0.07503046	-0.12323714	-0.111799665	-0.3538381	0.3406825	-0.10635295	-0.21300109	0.0410923	0.04194666	0.34283736	0.02687291	0.13780516	-0.015452213	-0.0959761	-0.024137901	0.2271186	0.24969882	-0.013766814	-0.18403192	0.309677	0.05557413
-0.16288686	0.10371482	0.00552677	0.10392606	-0.1387888	-0.292221	0.28181568	0.6692368	-0.088984616	-0.07777157	-0.28947967	-0.5580479	-0.027153522	-0.010582939	0.05001693	-0.08083749	-0.019228818	-0.2104639	-0.19800718	-0.5517048	0.0401021	0.05097737	-0.03555697	0.06856381	-0.102234535	-0.06761658	-0.19544747	0.09338921	-0.25803947	-0.03322033	0.5234314	-0.08098279	0.17285296	-0.24395475	0.06518329	0.37893215	0.15966599	-0.1967712	-0.25686413	-0.51292723	0.20594524	-0.34523496	0.044054717	0.1690026	0.15717787	0.111852325	-0.38299438	-0.044499177	0.02948549	0.10003381	0.10245164	-0.022611989	-0.083526015	-0.05857005	0.008596109	0.30034083	-0.13818735	0.116044804	-0.14954585	0.094866015	0.3119145	0.041238964	-0.33233315	0.04059574	-0.17167306	0.46238175	0.010889145	0.078599654	-0.3382863	0.05426217	-0.24766424	0.12581965	0.20637272	0.19757771	0.27411887	0.08847149	0.39801565	-0.1469444	-0.3130443	0.07410874	-0.123865776	-0.11246953	-0.35861656	0.34402153	-0.10748143	-0.21596743	0.041748874	0.042020753	0.34531838	0.027372992	0.14037204	-0.014377399	-0.09809729	-0.02352109	0.22981831	0.25223938	-0.012332972	-0.18593948	0.31241196	0.05653327
-0.1669595	0.10502338	0.0033151421	0.10588765	-0.14170742	-0.30088106	0.28790507	0.68456554	-0.09288712	-0.07813138	-0.2960398	-0.5692094	-0.029194083	-0.008823391	0.053241387	-0.08373356	-0.019827982	-0.2160379	-0.20136036	-0.5645421	0.039425183	0.053447794	-0.03653973	0.071694925	-0.10461148	-0.0705383	-0.19827814	0.09448812	-0.2619347	-0.034358233	0.53300613	-0.081824854	0.18257187	-0.25016448	0.064552136	0.38867688	0.16605	-0.19888547	-0.26291507	-0.52363664	0.21010225	-0.35432804	0.046575233	0.1781017	0.1598781	0.1144253	-0.39096707	-0.04831155	0.027670342	0.1031363	0.10412352	-0.022715677	-0.08629283	-0.060609058	0.010057384	0.3041685	-0.13931608	0.11765399	-0.15530239	0.0983769	0.3218775	0.04391762	-0.33642742	0.04173171	-0.17520754	0.4716493	0.012665573	0.08266121	-0.34282234	0.054622486	-0.25388354	0.13063939	0.21198559	0.20197134	0.28184634	0.091061346	0.40834367	-0.15288937	-0.31936765	0.07656918	-0.12523656	-0.116711244	-0.3672241	0.35026765	-0.113363504	-0.21913509	0.043444484	0.040612347	0.35293832	0.031083338	0.14168426	-0.013706075	-0.09691617	-0.024924412	0.23396601	0.2598348	-0.014388214	-0.18555483	0.31720632	0.056587905
-0.15366036	0.10578936	-0.0074657574	0.09949529	-0.13832857	-0.32286036	0.30392638	0.6945614	-0.10716285	-0.08090205	-0.3045283	-0.5828849	-0.033400927	-0.008517042	0.06493989	-0.08104733	-0.011381446	-0.21722062	-0.20282014	-0.5702908	0.0065801404	0.0661856	-0.031083176	0.079856	-0.1009355	-0.086327136	-0.21652496	0.08133886	-0.27446318	-0.040496793	0.52564335	-0.0929274	0.20475148	-0.24856974	0.06886846	0.41102245	0.16336939	-0.19275592	-0.2673112	-0.5456866	0.21098293	-0.37738723	0.040421013	0.19779436	0.1693356	0.12322586	-0.4006553	-0.050203644	0.016626261	0.112032585	0.109680355	0.0018563337	-0.087328374	-0.064136334	0.01080761	0.2949295	-0.14190978	0.10617949	-0.1747289	0.108518906	0.3304719	0.04037569	-0.33818978	0.046702	-0.18885237	0.48491266	0.021320792	0.06805012	-0.34831217	0.039643537	-0.26369917	0.13610536	0.20427825	0.19152929	0.29545894	0.11227264	0.42266542	-0.1658279	-0.32715142	0.1001726	-0.11714724	-0.12527186	-0.3792261	0.3542533	-0.107903846	-0.22614452	0.054094378	0.037020866	0.37080428	0.05266456	0.14423268	0.008713364	-0.08676034	-0.039721172	0.2544812	0.28009355	-0.031910613	-0.16724908	0.31113276	0.044891663
-0.15215771	0.09737739	0.005314012	0.095414795	-0.12822646	-0.26851508	0.26057073	0.6199853	-0.08165641	-0.07219879	-0.26758304	-0.5170387	-0.026150515	-0.0103602	0.045394536	-0.07456673	-0.018833455	-0.19539621	-0.18341292	-0.51099414	0.038376648	0.04747705	-0.033058938	0.06301951	-0.09359431	-0.062030476	-0.18101813	0.08600434	-0.23602423	-0.030635072	0.48398983	-0.0742506	0.15886578	-0.22549807	0.06030434	0.35181153	0.1487737	-0.18155707	-0.23743813	-0.47462338	0.19121082	-0.31708363	0.041207634	0.15762757	0.14436825	0.10400887	-0.353638	-0.040636327	0.026719633	0.09207445	0.09463448	-0.020573776	-0.078414135	-0.05315288	0.009687238	0.27663115	-0.12559716	0.10940198	-0.13765146	0.08882509	0.2858586	0.038436614	-0.30735365	0.035967	-0.15941629	0.42832947	0.009633224	0.07289478	-0.31348422	0.050639406	-0.2278522	0.11781616	0.19210559	0.18375984	0.25309673	0.08102878	0.3673897	-0.13704447	-0.28969115	0.06860231	-0.11513596	-0.10516976	-0.3307848	0.31735975	-0.09927971	-0.19902532	0.040357668	0.038469724	0.3196301	0.024699422	0.12728325	-0.014062026	-0.090199955	-0.020682173	0.21210577	0.23304664	-0.012290879	-0.17088825	0.2882969	0.052578885
-0.1628919	0.1021956	0.0026421265	0.10378245	-0.13865276	-0.29382226	0.2821822	0.6677946	-0.09424053	-0.07235079	-0.29057184	-0.55581594	-0.028607074	-0.0082027875	0.053763665	-0.08461662	-0.018979592	-0.20987293	-0.19513604	-0.55162513	0.033804156	0.053111963	-0.034514982	0.06901385	-0.1033743	-0.06999669	-0.19522232	0.09240659	-0.2547162	-0.034959808	0.516955	-0.08151145	0.1824571	-0.24325967	0.061199367	0.3812497	0.16371253	-0.1932144	-0.25687897	-0.51105064	0.20471561	-0.34821945	0.043547355	0.17687841	0.1558766	0.11363244	-0.3812885	-0.049152795	0.023401987	0.10136888	0.10070964	-0.01786459	-0.085976675	-0.060165327	0.008096281	0.2939958	-0.13538133	0.112483226	-0.15386045	0.096939154	0.3157801	0.04357161	-0.3284348	0.038751334	-0.1720513	0.46067685	0.013199012	0.07993468	-0.33292162	0.05385775	-0.24961305	0.12872699	0.20567627	0.19716468	0.27777177	0.08924197	0.3991733	-0.14927676	-0.3140468	0.075403154	-0.12092936	-0.11705228	-0.36026964	0.34029117	-0.11305712	-0.21401386	0.04162442	0.03809751	0.34763947	0.034693256	0.1372658	-0.011313162	-0.09395241	-0.027534258	0.22871211	0.25678948	-0.0145715345	-0.17580152	0.30772942	0.053158946
-0.14110887	0.089121096	0.0003942747	0.089670554	-0.11977817	-0.2590707	0.24654683	0.5825448	-0.08274175	-0.064009085	-0.25382406	-0.48422801	-0.024268715	-0.0072257	0.04869023	-0.07470286	-0.014728087	-0.18473813	-0.17035373	-0.47943968	0.027908757	0.04694739	-0.029103111	0.059597388	-0.09030517	-0.062020056	-0.17092945	0.07977687	-0.22222602	-0.031088304	0.45010576	-0.069136105	0.16092812	-0.21180247	0.0525557	0.33340588	0.14240462	-0.16920866	-0.22441155	-0.44471747	0.1791939	-0.30414507	0.037877053	0.15528312	0.13630447	0.09899259	-0.33288842	-0.043763783	0.018319411	0.090648584	0.08825165	-0.013391256	-0.07467526	-0.053871766	0.00652304	0.25580525	-0.11723695	0.09732803	-0.13500829	0.08316645	0.2745925	0.038703743	-0.28641275	0.036232635	-0.15152772	0.40225834	0.0120234	0.06656125	-0.29015318	0.04457815	-0.21942239	0.11276315	0.17875989	0.17122875	0.242064	0.07799506	0.3487525	-0.13195741	-0.2742827	0.067318596	-0.10511905	-0.10271014	-0.31557596	0.2949717	-0.09557415	-0.18678465	0.035028506	0.032851737	0.3040751	0.03117419	0.1182663	-0.008402908	-0.07923317	-0.023256406	0.20040835	0.22592197	-0.014324232	-0.15167631	0.26941568	0.046045616
